,time,location,observation
0,4291.5,trgw-0-26-6,35.74551657
0,4322.5,trgw-0-26-6,35.37239844
0,4352.5,trgw-0-26-6,35.09570401
0,4383.5,trgw-0-26-6,34.81246586
0,3652.5,trgw-0-29-15,34.91457661
0,3683.5,trgw-0-29-15,34.86926337
0,3712.5,trgw-0-29-15,34.85013116
0,3743.5,trgw-0-29-15,34.8684091
0,3773.5,trgw-0-29-15,34.92309341
0,3804.5,trgw-0-29-15,34.96632826
0,3834.5,trgw-0-29-15,34.96150375
0,3865.5,trgw-0-29-15,34.91399153
0,3896.5,trgw-0-29-15,34.8490292
0,3926.5,trgw-0-29-15,34.73417256
0,3957.5,trgw-0-29-15,34.60633252
0,3987.5,trgw-0-29-15,34.49576366
0,4018.5,trgw-0-29-15,34.41569574
0,4049.5,trgw-0-29-15,34.40814461
0,4077.5,trgw-0-29-15,34.4665745
0,4108.5,trgw-0-29-15,34.56010155
0,4138.5,trgw-0-29-15,34.6478011
0,4169.5,trgw-0-29-15,34.72372817
0,4199.5,trgw-0-29-15,34.75929027
0,4230.5,trgw-0-29-15,34.75593566
0,4261.5,trgw-0-29-15,34.67944984
0,4291.5,trgw-0-29-15,34.55452529
0,4322.5,trgw-0-29-15,34.40702977
0,4352.5,trgw-0-29-15,34.28552186
0,4383.5,trgw-0-29-15,34.17270874
0,3652.5,trgw-0-3-8,38.00429269
0,3683.5,trgw-0-3-8,37.99381933
0,3712.5,trgw-0-3-8,38.01940006
0,3743.5,trgw-0-3-8,38.08862495
0,3773.5,trgw-0-3-8,38.20362719
0,3804.5,trgw-0-3-8,38.31149208
0,3834.5,trgw-0-3-8,38.38334919
0,3865.5,trgw-0-3-8,38.38085269
0,3896.5,trgw-0-3-8,38.30941741
0,3926.5,trgw-0-3-8,38.15454922
0,3957.5,trgw-0-3-8,37.95866896
0,3987.5,trgw-0-3-8,37.77110717
0,4018.5,trgw-0-3-8,37.61231354
0,4049.5,trgw-0-3-8,37.54446994
0,4077.5,trgw-0-3-8,37.57878998
0,4108.5,trgw-0-3-8,37.68706417
0,4138.5,trgw-0-3-8,37.81184378
0,4169.5,trgw-0-3-8,37.94054986
0,4199.5,trgw-0-3-8,38.02184018
0,4230.5,trgw-0-3-8,38.03919833
0,4261.5,trgw-0-3-8,37.96526858
0,4291.5,trgw-0-3-8,37.81323207
0,4322.5,trgw-0-3-8,37.61846953
0,4352.5,trgw-0-3-8,37.43085599
0,4383.5,trgw-0-3-8,37.25501693
0,3652.5,trgw-0-33-7,36.43789409
0,3683.5,trgw-0-33-7,36.31670973
0,3712.5,trgw-0-33-7,36.29095826
0,3743.5,trgw-0-33-7,36.32421996
0,3773.5,trgw-0-33-7,36.41321474
0,3804.5,trgw-0-33-7,36.4797958
0,3834.5,trgw-0-33-7,36.42594854
0,3865.5,trgw-0-33-7,36.36607942
0,3896.5,trgw-0-33-7,36.27238088
0,3926.5,trgw-0-33-7,36.00062213
0,3957.5,trgw-0-33-7,35.6814981
0,3987.5,trgw-0-33-7,35.45079976
0,4018.5,trgw-0-33-7,35.36775264
0,4049.5,trgw-0-33-7,35.42978239
0,4077.5,trgw-0-33-7,35.52090006
0,4108.5,trgw-0-33-7,35.61958409
0,4138.5,trgw-0-33-7,35.72030505
